Index,School Name,State,Athletics Site Title,Athletics Site URL
648,Notre Dame College,Ohio,Notre Dame College Athletics,http://www.notredamefalcons.com/
649,Ohio Dominican University,Ohio,Ohio Dominican University Athletics,http://www.ohiodominicanpanthers.com/
650,Tiffin University,Ohio,Tiffin University Athletics,http://www.gotiffindragons.com/
651,Urbana University,Ohio,"Urbana University - Urbana, Ohio",http://sports.urbana.edu/
652,Ursuline College,Ohio,Ursuline Arrows,http://www.ursulinearrows.com/
654,Cameron University,Oklahoma,Official Athletics Website of Cameron University Athletics ...,http://cameronaggies.com/
655,University of Central Oklahoma,Oklahoma,University of Central Oklahoma Athletics,http://www.bronchosports.com/
656,East Central University,Oklahoma,ECUTigers.com ## East Central University Athletics,http://www.ecutigers.com/
657,Northeastern State University,Oklahoma,Northeastern State Riverhawks,http://www.goriverhawksgo.com/
660,Southern Nazarene University,Oklahoma,Southern Nazarene University Athletics,http://sports.snu.edu/
661,Southwestern Oklahoma State University,Oklahoma,Athletics Home - Southwestern Oklahoma State University,http://www.swosu.edu/athletics
662,Western Oregon University,Oregon,Western Oregon University Athletics,http://www.wouwolves.com/
663,Bloomsburg University of Pennsylvania,Pennsylvania,Bloomsburg University - Sports Information,http://www.bloomu.edu/sports/
664,California University of Pennsylvania,Pennsylvania,California University of Pennsylvania Athletics,http://calvulcans.com/
665,Chestnut Hill College,Pennsylvania,Chestnut Hill College Athletics,http://www.griffinathletics.com/
667,Clarion University of Pennsylvania,Pennsylvania,Clarion University Athletics,http://www.clariongoldeneagles.com/
668,East Stroudsburg University of Pennsylvania,Pennsylvania,East Stroudsburg University Athletics,http://www.esuwarriors.com/
669,Edinboro University of Pennsylvania,Pennsylvania,Edinboro Athletics,http://www.gofightingscots.com/
670,Gannon University,Pennsylvania,Gannon University Athletics,http://www.gannonsports.com/
671,Holy Family University,Pennsylvania,Holy Family University Athletics,http://athletics.holyfamily.edu/
672,Indiana University of Pennsylvania,Pennsylvania,Indiana University of Pennsylvania Athletics,http://www.iupathletics.com/
673,Kutztown University of Pennsylvania,Pennsylvania,Kutztown University Athletics,http://www.kubears.com/
674,Lincoln University of Pennsylvania,Pennsylvania,Lincoln University Athletics,http://lulions.com/
676,Mansfield University of Pennsylvania,Pennsylvania,Mansfield University Athletics,http://gomounties.com/
677,Mercyhurst College,Pennsylvania,Mercyhurst Athletics,http://hurstathletics.com/
678,Millersville University of Pennsylvania,Pennsylvania,Millersville University Athletics,http://www.millersvilleathletics.com/
679,Philadelphia University,Pennsylvania,PHILADELPHIA UNIVERSITY ATHLETICS,http://www.philaurams.com/
681,University of Pittsburgh at Johnstown,Pennsylvania,Athletics,http://www.upj.pitt.edu/71/
682,Seton Hill University,Pennsylvania,Seton Hill University Athletics,http://www.setonhill.edu/athletics/
683,Shippensburg University of Pennsylvania,Pennsylvania,Shippensburg University Athletics,http://www.shipraiders.com/
684,Slippery Rock University of Pennsylvania,Pennsylvania,Slippery Rock University Athletics,http://www.rockathletics.com/
685,West Chester University of Pennsylvania,Pennsylvania,West Chester University Athletics,http://www.wcupagoldenrams.com/
686,Anderson University,South Carolina,"Athletics: Anderson University, a Christian College in Indiana",http://www.anderson.edu/athletics/
687,Benedict College,South Carolina,Benedict College Athletics,http://www.benedict.edu/athletics.html
688,Claflin University,South Carolina,Claflin University | Athletics,http://www.claflin.edu/athletics/
689,Coker College,South Carolina,Coker College Athletics,http://www.cokercobras.com/
691,Erskine College,South Carolina,Erskine College Athletics,http://www.erskinecollegesports.com/
692,Francis Marion University,South Carolina,Francis Marion University Athletics,http://www.fmupatriots.com/
693,Lander University,South Carolina,Lander University Athletics,http://www.landerbearcats.com/
694,Limestone College,South Carolina,Limestone Athletics,http://golimestonesaints.com/
696,North Greenville University,South Carolina,North Greenville University Athletics NGCRUSADERS.COM,http://www.ngcrusaders.com/
697,University of South Carolina Aiken,South Carolina,USC Aiken Athletics,http://www.pacersports.com/
698,Augustana College,South Dakota,Augustana College - Athletics at Augustana,http://www.augustana.edu/athletics/
699,Black Hills State University,South Dakota,Athletics @ BHSU - Black Hills State University,http://www.bhsu.edu/athletics/
700,Northern State University,South Dakota,Northern State University Athletics,http://nsuwolvesathletics.com/
701,University of Sioux Falls,South Dakota,Sioux Falls,http://www.usfcougars.com/
702,South Dakota School of Mines and Technology,South Dakota,Athletics,http://business.sdsmt.edu/athletics/
703,Carson–Newman College,Tennessee,Carson-Newman : CNEagles.com,http://cneagles.com/
704,Christian Brothers University,Tennessee,Christian Brothers University Athletics,http://www.gobucsgo.com/
705,King College,Tennessee,King College Athletics,http://kingtornado.com/
706,Lane College,Tennessee,Lane College Athletics,http://www.golcdragons.com/
707,LeMoyne–Owen College,Tennessee,LeMoyne-Owen College Athletics,http://athletics.loc.edu/
708,Lincoln Memorial University,Tennessee,Lincoln Memorial University Athletics :: LMUrailsplitters.com,http://www.lmurailsplitters.com/
709,Trevecca Nazarene University,Tennessee,Trevecca Nazarene University Athletics,http://www.tnutrojans.com/
711,Union University,Tennessee,Athletics | Union University,http://www.uu.edu/athletics/
712,Abilene Christian University,Texas,Abilene Christian University Athletics,http://www.acusports.com/
713,Angelo State University,Texas,Angelo State University,http://www.angelosports.com/
714,Dallas Baptist University,Texas,Dallas Baptist University Athletics,http://dbupatriots.com/
715,University of the Incarnate Word,Texas,University of the Incarnate Word,http://www.cardinalathletics.com/
716,McMurry University,Texas,McMurry University Athletics,http://www.mcmurrysports.com/
717,Midwestern State University,Texas,Midwestern State Mustangs,http://msumustangs.com/
718,St. Edward's University,Texas,"Athletics @ St. Edward's University, Austin, Texas",http://www.stedwards.edu/athletics
719,St. Mary's University,Texas,Rattler Athletics | St. Mary's University,http://www.stmarytx.edu/athletics/
720,Tarleton State University,Texas,Tarleton State Athletics,http://www.tarletonsports.com/
721,Texas A&M International University,Texas,Texas A&M International – Athletics,http://www.godustdevils.com/
722,Texas A&M University–Commerce,Texas,Texas A&M-Commerce Athletics,http://lionathletics.com/landing/index
723,Texas A&M University–Kingsville,Texas,Texas A&M Kingsville - Javelinas Athletics,http://www.javelinaathletics.com/?skip=1
724,University of Texas of the Permian Basin,Texas,"University of Texas, Permian Basin Athletics",http://www.utpbfalcons.com/
725,Texas Woman's University,Texas,TWU Athletics,http://www.twuathletics.com/
726,West Texas A&M University,Texas,West Texas A&M University Athletics,http://gobuffsgo.com/index.aspx?path=
727,Dixie State College of Utah,Utah,Dixie State Athletics,http://dixieathletics.com/
728,Saint Michael's College,Vermont,Athletics,http://www.smcathletics.com/
729,Virginia State University,Virginia,Athletics - Virginia State University,http://www.vsu.edu/pages/102.asp
730,Virginia Union University,Virginia,Virginia Union University Athletics,http://www.vuusports.com/
731,Central Washington University,Washington,Central Washington University Athletics,http://www.wildcatsports.com/
734,Western Washington University,Washington,Western Washington Vikings - Western Washington University ...,http://www.wwuvikings.com/
735,Alderson–Broaddus College,West Virginia,GoBattlers.com - Official Website of the Alderson-Broaddus Battlers,http://www.gobattlers.com/
738,Davis & Elkins College,West Virginia,Welcome to UC Davis,http://www.ucdavis.edu/
739,Fairmont State University,West Virginia,Fairmont State University Athletics,http://fightingfalcons.com/
740,Glenville State College,West Virginia,Glenville State College Athletics,http://www.gscpioneers.com/
741,Ohio Valley University,West Virginia,Ohio Valley University - Fighting Scots | Athletics,http://www.ovu.edu/site.cfm/athletics
742,Salem International University,West Virginia,Salem International University Athletics,http://www.salemu.edu/athletics
743,Shepherd University,West Virginia,Official Athletic Site of Shepherd University,http://www.shepherdrams.com/
744,University of Charleston,West Virginia,University of Charleston Athletics,http://www.ucgoldeneagles.com/
745,West Liberty University,West Virginia,West Liberty University Athletics,http://www.hilltoppersports.com/
746,West Virginia State University,West Virginia,West Virginia State University Athletics,http://www.wvsuyellowjackets.com/
747,West Virginia Wesleyan College,West Virginia,West Virginia Wesleyan College - Athletics,http://bobcats.wvwc.edu/
748,Wheeling Jesuit University,West Virginia,Athletics Landing Page - Wheeling Jesuit University,http://www.wju.edu/athletics/
749,University of Wisconsin–Parkside,Wisconsin,University of Wisconsin Parkside Athletics,http://www.parksiderangers.com/
